Album, Artist,Tier,Date Listened, No. Songs, Length, Release Date
Tapestry,Carole King,1,03/02/2020,12,45 min,10/02/1971
Blue,Joni Mitchell,3,04/02/2020,10,36 min,22/06/1971
Dusty In Memphis,Dusty Springfield, 2,14/02/2020,11,34 min,18/01/1969
Sound Of Silver,LCD Soundsystem, 3,26/02/2020,9,56 min,12/03/2007
Charli,Charli XCX, 3,05/03/2020,15,50 min,13/09/2019
In My Lifetime Vol.1,JAY-Z, ,,14,58 min,04/11/1997
Out Of Time,R.E.M., 3,25/03/2020,11,44 min,12/03/1991
After the Gold Rush,Neil Young, 3,18/04/2020,11,1 hr 16 min,19/09/1970
Songs From The Big Chair,Tears For Fears,0,22/05/2020,8,42 min,25/02/1985
Blood On The Tracks,Bob Dylan, 3,11/06/2020,10,52 min,20/01/1975
1000 gecs,100 gecs, 3,21/06/2020,10,23 min,31/05/2019
how I’m feeling now,Charli XCX, 3,22/06/2020,11,37 min,15/05/2020
Madonna,Madonna, 3,25/06/2020,8,40 min,1983
Hounds Of Love,Kate Bush, 1,07/07/2020,,,
"Gino Paoli: Rarity Music Pop, Vol. 163", Gino Paoli, 3, 27/07/2020, 15, 34 min, 1961
Carpenters With The Royal Philharmonic Orchestra, Carpenters, 2,24/07/2020, 18, 1 hr 6 min, 07/12/2018
"Everybody Else Is Doing It, So Why Can't We?", The Cranberries, 1, 06/09/2020, 12, 41 min, 1993
Hannah, Lomelda, 3, 08/09/2020, 14, 40 min, 2020
The Dreaming, Kate Bush, 3, 22/09/2020, 10, 43 min, 1982
Mouths Dreams, Neil Cicierega, 3, 07/10/2020, , ,
No Need To Argue, The Cranberries, 2, 25/10/2020, 13, 51 min, 1994
After Hours, The Weeknd, 2, 17/02/2021, 14, 56 min, 20/02/2020
Mellon Collie And The Infinite Sadness, The Smashing Pumpkins, 1, 10/04/2021, 28, 122 min, 
Heaven or Las Vegas, Cocteau Twins, 1, 03/05/2021, 10, 38 min, 1990
Siamese Dream, The Smashing Pumpkins, 3, 09/05/2021, 13, 1 hr 2 min, 1993
Pinkerton, Weezer, 2, 13/05/2021, 10, 35 min, 1996
House Of Balloons, The Weeknd, 2, 05/06/2021, 9, 50 min, 2011
Tusk, Fleetwood Mac, 1, 27/06/2021, 20, 1 hr 14 min, 1979
Mirage, Fleetwood Mac, 1, 29/06/21, 12, 43 min, 1982
More Songs About Buildings and Food (Deluxe Version), Talking Heads, 3, 20/07/21, 15, 58 min, 1978
Fear of Music, Talking Heads, 3, 21/07/2021, 15, 58 min, 1979
Dedicated, Carly Rae Repsen, 1, 07/11/2021, 15, 49 min, 2019
Fleet Foxes, Fleet Foxes, 2, 26/11/2021, 11, 40 min, 2008
