Book,Author,Tier,Date started,Date Finished,Pages,Publisher,Original Publication Date
On Photography,Susan Sontag,3,03/01/2020,09/01/2020,207,Penguin Books,1977
Beyond A Boundary,C. L. R. James,3,09/01/2020,19/01/2020,345,Yellow Jersey Press,1963
What We Talk About When We Talk About Love,Raymond Carver,3,13/01/2020,19/01/2020,134,Vintage Books,1981
I Served the King of England,Bohumil Hrabal,3,20/01/2020,23/01/2020,241,Vintage Books,1971
10:04,Ben Lerner,3,24/01/2020,29/01/2020,240,Granta Books,2014
Pride and Prejudice,Jane Austen,1,30/01/2020,01/03/2020,367,Penguin Classics,1813
Second-hand Time,Svetlana Alexievich,0,07/02/2020,21/02/2020,694,Fitzcarraldo Editions,2013
A Short History of Brexit,Kevin O’Rourke,2,13/02/2020,16/02/2020,312,Pelican Books,2018
Frankenstein,Mary Shelley,3,21/02/2020,06/03/2020,223,Oxford University Press,01/01/1818
"The Square and the Tower: Networks, Hierarchies and the Struggle for Global Power",Niall Ferguson,4,07/03/2020,02/04/2020,435,Penguin Books,2017
Underland: A Deep time Journey,Robert Macfarlane,3,03/04/2020,07/05/2020,425,Hamish Hamilton,2019
The Other,Ryszard Kapuśiński,3,10/05/2020,12/05/2020,92,Verso Books,2006
Emily Dickinson: Poesie,Emily Dickinson tran. Margherita Guidacci,,13/05/2020,-,289,BUR,2010
Babylon: Mesopotamia and the Birth of Civilization,Paul Kriwaczek,2,16/05/2020,30/05/2020,282,Atlantic Books,2010
The Design of Everyday Things,Donald A. Norman,3,20/05/2020,30/06/2020,319,The MIT Press,2013
Boys in Zinc,Svetlana Alexievich, 1, 13/06/2020, 08/08/2020, 295, Penguin Books, 1989
The Art of Language Invention,David J. Peterson,2,01/07/2020,18/07/2020,268,Penguin Books,2015
Lingo: A Language Spotter’s Guide to Europe, Gaston Dorren, 2, 19/07/2020, 30/07/2020, 291, Profile Books, 2014
Byzantium: The Surprising Life of a Medieval Empire, Judith Herrin, 3, 01/08/2020, 30/09/2020 , 336, Penguin Books, 2007
Dune, Frank Herbert, 1, 01/10/2020, 26/10/2020, 605, New English Library, 1965
Losers, Mary Pilton and Louisa Thomas, 3, 26/20/2020, 01/11/2020, 285, Penguin Books, 2020
The Hitch Hiker's Guide to the Galaxy, Douglas Adams, 3, 02/11/2020, 07/11/2020, 159, Pan Books, 1979
The Restuarant at the End of the Universe, Douglas Adams, 3, 07/11/2020, 12/11/2020, 187, Pan Books, 1980
